country,restart,loss,form_base,marry_share_of_form,cohab_to_marr,dissolve_cohab,dissolve_marr,kappa_floor,kappa_mid,kappa_steep,form_tilt,period_depth,period_mid,period_steep
CRI,1,0.047021,0.068008,0.315832,0.042081,0.067361,0.018627,0.364392,1991.526460,0.120882,0.027009,0.000000,2019.255790,0.857499
CRI,1,0.043272,0.069380,0.309128,0.044319,0.063904,0.018772,0.356831,1991.389956,0.121615,0.027343,0.000000,2019.593767,0.864334
CRI,1,0.039618,0.068434,0.309024,0.045439,0.059586,0.019018,0.355374,1991.551738,0.127376,0.029804,0.000000,2019.565922,0.831210
CRI,1,0.040591,0.068648,0.305651,0.047199,0.055937,0.019216,0.350904,1991.564371,0.130749,0.031104,0.000000,2019.718618,0.818274
CRI,1,0.038148,0.067375,0.307158,0.042138,0.059953,0.018776,0.369122,1991.824019,0.133438,0.028238,0.000000,2019.549552,0.850165
CRI,1,0.040896,0.066587,0.302556,0.040588,0.057132,0.018720,0.378135,1992.085688,0.142455,0.027949,0.000000,2019.665597,0.856596
CRI,1,0.041818,0.069585,0.319751,0.041406,0.063853,0.018921,0.352591,1992.413643,0.123348,0.027390,0.000000,2019.463834,0.825373
CRI,1,0.041834,0.066786,0.305941,0.041161,0.060642,0.019080,0.384716,1991.633719,0.129593,0.027616,0.000000,2019.781587,0.837978
CRI,1,0.042146,0.066643,0.314631,0.041464,0.060887,0.018996,0.370750,1992.039872,0.131049,0.029260,0.000000,2019.375419,0.814385
CRI,1,0.037991,0.065066,0.304294,0.041840,0.059102,0.018479,0.352277,1992.816078,0.142121,0.028873,0.000000,2019.644793,0.823588
CRI,1,0.038568,0.062583,0.297158,0.040999,0.056264,0.018101,0.341291,1993.782333,0.158113,0.029313,0.000000,2019.799263,0.811094
CRI,1,0.042152,0.070401,0.311503,0.042953,0.064314,0.018710,0.343128,1991.308425,0.128851,0.029274,0.000000,2019.390982,0.830435
CRI,1,0.042006,0.069023,0.311253,0.042802,0.063143,0.018767,0.352089,1991.582838,0.128791,0.028899,0.000000,2019.442036,0.832662
CRI,1,0.038998,0.069142,0.306842,0.044100,0.063478,0.018616,0.348625,1991.593085,0.126087,0.027696,0.000000,2019.620464,0.858879
CRI,1,0.044272,0.066775,0.309457,0.042942,0.061269,0.018818,0.366612,1992.051676,0.127846,0.027869,0.000000,2019.584295,0.844571
CRI,1,0.040334,0.068452,0.310804,0.042837,0.062671,0.018780,0.355694,1991.700619,0.128554,0.028644,0.000000,2019.477727,0.835629
CRI,1,0.042247,0.069298,0.315622,0.044936,0.064133,0.018459,0.330138,1992.012428,0.126884,0.029307,0.000000,2019.188166,0.838835
CRI,1,0.037150,0.067403,0.308346,0.042079,0.061502,0.018923,0.370710,1991.728770,0.128911,0.028047,0.000000,2019.635428,0.838192
CRI,1,0.043633,0.066165,0.300052,0.044793,0.060529,0.018615,0.364325,1991.106647,0.134284,0.029621,0.000000,2019.540350,0.853751
CRI,1,0.040294,0.068709,0.314763,0.042232,0.063011,0.018844,0.355507,1992.091359,0.125998,0.027964,0.000000,2019.483000,0.832406
CRI,2,3.555342,0.204509,0.538972,0.059197,0.206587,0.043884,0.805921,1994.393543,1.055666,0.007707,0.000000,2003.500931,0.639711
CRI,2,5.828002,0.315447,0.538972,0.059197,0.206587,0.043884,0.805921,1994.393543,1.055666,0.007707,0.000000,2003.500931,0.639711
CRI,2,5.894613,0.204509,0.690435,0.059197,0.206587,0.043884,0.805921,1994.393543,1.055666,0.007707,0.000000,2003.500931,0.639711
CRI,2,4.502435,0.204509,0.538972,0.106090,0.206587,0.043884,0.805921,1994.393543,1.055666,0.007707,0.000000,2003.500931,0.639711
CRI,2,3.633270,0.204509,0.538972,0.059197,0.228431,0.043884,0.805921,1994.393543,1.055666,0.007707,0.000000,2003.500931,0.639711
CRI,2,2.823316,0.204509,0.538972,0.059197,0.206587,0.063509,0.805921,1994.393543,1.055666,0.007707,0.000000,2003.500931,0.639711
CRI,2,3.892113,0.204509,0.538972,0.059197,0.206587,0.043884,0.902241,1994.393543,1.055666,0.007707,0.000000,2003.500931,0.639711
CRI,2,4.053624,0.204509,0.538972,0.059197,0.206587,0.043884,0.805921,2001.688919,1.055666,0.007707,0.000000,2003.500931,0.639711
CRI,2,3.567696,0.204509,0.538972,0.059197,0.206587,0.043884,0.805921,1994.393543,1.130505,0.007707,0.000000,2003.500931,0.639711
CRI,2,3.206845,0.204509,0.538972,0.059197,0.206587,0.043884,0.805921,1994.393543,1.055666,0.025227,0.000000,2003.500931,0.639711
CRI,2,3.555342,0.204509,0.538972,0.059197,0.206587,0.043884,0.805921,1994.393543,1.055666,0.007707,0.000000,2003.500931,0.639711
