anio,cve_geo,entidad,poblacion_total,poblacion_65_mas,edad_escolar_3_14,razon_dependencia
2030,19,Nuevo León,6907570,678801,1233130,47.1900
2030,20,Oaxaca,4474784,468351,895074,54.8600
2030,21,Puebla,7443370,673501,1499501,52.2200
2030,22,Querétaro,2875396,258980,490613,42.8900
2030,23,Quintana Roo,2288432,151797,409671,40.0400
2030,24,San Luis Potosí,3083324,329498,569842,50.7200
2030,25,Sinaloa,3277779,377187,558782,48.0800
2030,26,Sonora,3266041,364050,535513,45.8300
2030,27,Tabasco,2485841,242668,450035,47.1700
2030,28,Tamaulipas,3873393,426971,638629,45.7900
2030,29,Tlaxcala,1526772,137995,294492,49.1100
2030,30,Veracruz,8046710,1033784,1320767,48.8900
2030,31,Yucatán,2649670,280851,430934,43.5300
2030,32,Zacatecas,1774779,176390,364064,55.1000
